country,icc,SrLS
Afghanistan,AFG,1.364
Albania,ALB,5.411
Algeria,DZA,5.571
Argentina,ARG,6.397
Armenia,ARM,5.494
Australia,AUS,6.974
Austria,AUT,6.81
Azerbaijan,AZE,4.875
Bahrain,BHR,6.03
Bangladesh,BGD,3.851
Belgium,BEL,6.91
Belize,BLZ,6.711
Benin,BEN,4.357
Bolivia,BOL,5.868
Bosnia and Herzegovina,BIH,6.136
Botswana,BWA,3.438
Brazil,BRA,6.494
Bulgaria,BGR,5.554
Burkina Faso,BFA,4.383
Cambodia,KHM,4.341
Cameroon,CMR,4.887
Canada,CAN,6.803
Chad,TCD,4.384
Chile,CHL,6.361
China,CHN,5.921
Colombia,COL,6.004
Comoros,COM,3.754
Congo,COG,5.03
Costa Rica,CRI,7.274
Cote d'Ivoire,CIV,5.102
Croatia,HRV,5.87
Cyprus,CYP,5.942
Czechia,CZE,6.775
Democratic Republic of Congo,COD,3.469
Denmark,DNK,7.521
Dominican Republic,DOM,5.846
Ecuador,ECU,5.965
Egypt,EGY,3.817
El Salvador,SLV,6.492
Estonia,EST,6.417
Eswatini,SWZ,3.774
Ethiopia,ETH,3.898
Finland,FIN,7.736
France,FRA,6.593
Gabon,GAB,5.12
Gambia,GMB,4.423
Georgia,GEO,5.4
Germany,DEU,6.753
Ghana,GHA,4.34
Greece,GRC,5.776
Guatemala,GTM,6.362
Guinea,GIN,4.929
Honduras,HND,5.964
Hong Kong,HKG,5.491
Hungary,HUN,5.915
Iceland,ISL,7.515
India,IND,4.389
Indonesia,IDN,5.617
Iran,IRN,5.093
Iraq,IRQ,4.976
Ireland,IRL,6.889
Israel,ISR,7.234
Italy,ITA,6.415
Jamaica,JAM,5.87
Japan,JPN,6.147
Jordan,JOR,4.31
Kazakhstan,KAZ,6.378
Kenya,KEN,4.51
Kosovo,OWID_KOS,6.659
Kuwait,KWT,6.629
Kyrgyzstan,KGZ,5.858
Laos,LAO,5.301
Latvia,LVA,6.207
Lebanon,LBN,3.188
Lesotho,LSO,3.757
Liberia,LBR,4.277
Libya,LBY,5.82
Lithuania,LTU,6.829
Luxembourg,LUX,7.122
Madagascar,MDG,4.157
Malawi,MWI,3.26
Malaysia,MYS,5.955
Mali,MLI,4.345
Malta,MLT,6.316
Mauritania,MRT,4.542
Mauritius,MUS,5.832
Mexico,MEX,6.979
Moldova,MDA,5.819
Mongolia,MNG,5.833
Montenegro,MNE,5.877
Morocco,MAR,4.622
Mozambique,MOZ,5.19
Myanmar,MMR,4.321
Namibia,NAM,4.911
Nepal,NPL,5.311
Netherlands,NLD,7.306
New Zealand,NZL,6.952
Nicaragua,NIC,6.33
Niger,NER,4.725
Nigeria,NGA,4.885
North Macedonia,MKD,5.503
Norway,NOR,7.262
Oman,OMN,6.197
Pakistan,PAK,4.768
Palestine,PSE,4.78
Panama,PAN,6.407
Paraguay,PRY,6.172
Peru,PER,5.947
Philippines,PHL,6.107
Poland,POL,6.673
Portugal,PRT,6.013
Romania,ROU,6.563
Russia,RUS,5.945
Saudi Arabia,SAU,6.6
Senegal,SEN,4.856
Serbia,SRB,6.606
Sierra Leone,SLE,2.998
Singapore,SGP,6.565
Slovakia,SVK,6.221
Slovenia,SVN,6.792
Somalia,SOM,4.347
South Africa,ZAF,5.213
South Korea,KOR,6.038
Spain,ESP,6.466
Sri Lanka,LKA,3.891
Sweden,SWE,7.345
Switzerland,CHE,6.935
Taiwan,TWN,6.669
Tajikistan,TJK,5.411
Tanzania,TZA,3.8
Thailand,THA,6.222
Togo,TGO,4.315
Trinidad and Tobago,TTO,5.905
Tunisia,TUN,4.552
Turkey,TUR,5.262
Uganda,UGA,4.461
Ukraine,UKR,4.68
United Arab Emirates,ARE,6.759
United Kingdom,GBR,6.728
United States,USA,6.724
Uruguay,URY,6.661
Uzbekistan,UZB,6.193
Venezuela,VEN,5.683
Vietnam,VNM,6.352
World,OWID_WRL,5.344676
Yemen,YEM,3.561
Zambia,ZMB,3.912
Zimbabwe,ZWE,3.396
