country,icc,LE (ys)
Monaco,MCO,86.73
San Marino,SMR,86.03
Hong Kong,HKG,85.9
Japan,JPN,85.15
South Korea,KOR,84.64
Saint Barthélemy,BLM,84.63
Andorra,AND,84.46
French Polynesia,PYF,84.44
Switzerland,CHE,84.37
Australia,AUS,84.34
Italy,ITA,84.18
Singapore,SGP,84.13
Spain,ESP,84.08
Liechtenstein,LIE,84.06
Réunion,REU,83.92
Gibraltar,GIB,83.9
Malta,MLT,83.78
Norway,NOR,83.76
Sweden,SWE,83.73
France,FRA,83.7
Macao,MAC,83.6
Holy See (Vatican City State),VAT,83.41
United Arab Emirates,ARE,83.39
Iceland,ISL,83.3
Canada,CAN,83.05
Martinique,MTQ,83.04
Ireland,IRL,82.92
Israel,ISR,82.9
Portugal,PRT,82.89
Qatar,QAT,82.83
Bermuda,BMU,82.83
Luxembourg,LUX,82.64
Netherlands,NLD,82.61
Belgium,BEL,82.59
Guadeloupe,GLP,82.56
New Zealand,NZL,82.52
Austria,AUT,82.45
Finland,FIN,82.4
Greece,GRC,82.39
Denmark,DNK,82.39
Puerto Rico,PRI,82.27
Cyprus,CYP,82.15
Slovenia,SVN,82.09
Germany,DEU,81.86
United Kingdom,GBR,81.75
Bahrain,BHR,81.74
Maldives,MDV,81.73
Chile,CHL,81.72
Isle of Man,IMN,81.39
Costa Rica,CRI,81.38
Taiwan,TWN,81.14
Kuwait,KWT,80.97
Cayman Islands,CYM,80.9
Faroe Islands,FRO,80.81
Oman,OMN,80.65
Czechia,CZE,80.25
Panama,PAN,80.15
Albania,ALB,80.13
Anguilla,AIA,79.86
Falkland Islands (Malvinas),FLK,79.78
United States,USA,79.76
Estonia,EST,79.64
Saudi Arabia,SAU,79.4
New Caledonia,NCL,79.23
Northern Mariana Islands,MNP,79.22
Poland,POL,79.15
Croatia,HRV,79.09
Wallis and Futuna,WLF,79.03
China,CHN,79.02
Slovakia,SVK,78.81
Cuba,CUB,78.62
Uruguay,URY,78.62
Turks and Caicos Islands,TCA,78.5
Bosnia and Herzegovina,BIH,78.42
Turkmenistan,TKM,78.38
Jordan,JOR,78.3
Peru,PER,78.3
Colombia,COL,78.27
Iran,IRN,78.25
Lebanon,LBN,78.22
Antigua and Barbuda,ATG,78.11
Sri Lanka,LKA,78.03
Ecuador,ECU,77.94
Argentina,ARG,77.83
North Macedonia,MKD,77.81
Guam,GUM,77.81
British Virgin Islands,VGB,77.76
Montenegro,MNE,77.6
French Guiana,GUF,77.54
Hungary,HUN,77.5
"Palestine, State of",PSE,77.42
Tokelau,TKL,77.42
Curaçao,CUW,77.34
Serbia,SRB,77.33
"Saint Helena, Ascension and Tristan da Cunha",SHN,77.3
Saint Pierre and Miquelon,SPM,77.28
Malaysia,MYS,77.16
Tunisia,TUN,77.1
Thailand,THA,77.06
Algeria,DZA,76.89
Sint Maarten (Dutch part),SXM,76.86
Aruba,ABW,76.78
Montserrat,MSR,76.66
Barbados,BRB,76.64
Latvia,LVA,76.63
Mayotte,MYT,76.61
Cabo Verde,CPV,76.56
Lithuania,LTU,76.48
Romania,ROU,76.4
Brazil,BRA,76.37
Armenia,ARM,76.18
"Virgin Islands, U.S.",VIR,76.15
Bulgaria,BGR,76.13
Morocco,MAR,75.86
Cook Islands,COK,75.85
Brunei Darussalam,BRN,75.83
Grenada,GRD,75.67
Mexico,MEX,75.63
Bangladesh,BGD,75.47
Mauritius,MUS,75.44
Nicaragua,NIC,75.43
Libya,LBY,75.18
Vietnam,VNM,75.05
Ukraine,UKR,75.02
Bahamas,BHS,75.01
Georgia,GEO,74.98
Belarus,BLR,74.97
Azerbaijan,AZE,74.89
Kazakhstan,KAZ,74.81
Paraguay,PRY,74.24
Dominican Republic,DOM,74.12
Belize,BLZ,74.08
Suriname,SUR,74.04
North Korea,PRK,73.98
Trinidad and Tobago,TTO,73.89
Bhutan,BTN,73.8
Russian Federation,RUS,73.7
Syria,SYR,73.43
Tonga,TON,73.39
Honduras,HND,73.39
Seychelles,SYC,73.28
American Samoa,ASM,73.25
Saint Lucia,LCA,73.15
Guatemala,GTM,73.04
Venezuela,VEN,73.01
Uzbekistan,UZB,72.78
El Salvador,SLV,72.74
India,IND,72.72
Iraq,IRQ,72.63
Saint Kitts and Nevis,KNA,72.58
Mongolia,MNG,72.49
Tajikistan,TJK,72.19
Egypt,EGY,72.16
Kyrgyzstan,KGZ,72.11
Samoa,WSM,72.08
Vanuatu,VUT,72.02
Western Sahara,ESH,71.98
